1	-0.01	-0.006	0.0506145	0.912	0.75	1.68589	1.76587
2	-0.002	0.003	0.0523599	0.912	0.75	0.973297	-0.792181
3	0.003	0.003	0.0523599	0.912	0.75	0.613593	-0.532487
4	-0.001	0.001	0.0523599	0.912	0.75	0.699998	3.30324
5	0.003	0.002	0.0523599	0.912	0.75	0.219483	1.48823
6	0.002	0.003	0.0523599	0.912	0.75	2.48489	1.46205
7	0.002	0	0.0541052	0.912	0.75	1.06344	0.183773
8	-0.003	-0.018	0.0541052	0.912	0.75	0.555112	1.17737
9	-0.004	-0.002	0.0558505	0.912	0.75	1.35954	0.164983
10	-0.011	0.001	0.0558505	0.912	0.75	2.29112	2.01865
11	-0.012	-0.005	0.0575959	0.912	0.75	1.08395	-0.00870529
12	-0.013	-0.003	0.0593412	0.912	0.75	1.43016	-0.205084
13	-0.007	0.005	0.0610865	0.912	0.75	2.3802	3.11699
14	-0.004	0.003	0.0628319	0.912	0.75	2.03747	0.345621
15	-0.013	0	0.0663225	0.912	0.75	1.70215	1.05633
16	-0.005	-0.005	0.0680678	0.912	0.75	0.578196	1.07313
17	-0.015	0.005	0.0698132	0.911	0.75	2.84861	-0.373328
18	-0.007	0	0.0733038	0.911	0.75	1.26075	-0.133015
19	-0.006	0.001	0.0767945	0.911	0.75	2.0491	1.32987
20	-0.011	0.002	0.0802851	0.911	0.75	1.10788	1.58189
21	-0.01	0.002	0.0837758	0.911	0.75	0.110595	1.47317
22	-0.012	0.005	0.0890118	0.911	0.75	2.96322	-0.576806
23	-0.009	0.003	0.0925025	0.911	0.75	2.78796	1.13703
24	-0.01	0.003	0.0977384	0.911	0.75	0.690591	1.15848
25	-0.005	0.003	0.102974	0.911	0.75	2.43244	0.681
26	-0.01	0.001	0.10821	0.911	0.75	1.1406	1.79163
27	-0.009	-0.002	0.113446	0.91	0.75	2.02749	0.918415
28	-0.002	-0.001	0.118682	0.91	0.75	1.0487	0.642964
29	-0.002	-0.004	0.123918	0.91	0.75	1.54591	1.42507
30	-0.001	-0.002	0.1309	0.91	0.75	1.92992	0.608726
31	-0.005	0.007	0.136136	0.91	0.75	0.0940731	0.488569
32	-0.012	0.004	0.143117	0.91	0.75	2.13734	1.62186
33	0	0	0.148353	0.91	0.75	1.42811	-0.876701
34	-0.005	-0.002	0.155334	0.91	0.75	1.96874	1.4112
35	-0.009	-0.001	0.16057	0.91	0.75	2.15339	-1.38836
36	-0.001	-0.004	0.167552	0.91	0.75	2.06684	-1.17088
37	0.001	0.001	0.174533	0.91	0.75	2.93967	0.0511261
38	-0.003	0	0.179769	0.91	0.75	1.32335	1.9227
39	-0.007	0.003	0.18675	0.91	0.75	3.54507	0.554809
40	-0.009	-0.002	0.191986	0.91	0.75	1.37638	1.0641
41	-0.006	-0.001	0.198968	0.91	0.75	2.97625	0.873965
42	0.003	-0.001	0.205949	0.91	0.75	3.46362	-0.595144
43	0	-0.002	0.211185	0.91	0.75	1.07717	1.9417
44	0	0	0.218166	0.91	0.75	2.85675	2.50493
45	-0.004	0.001	0.225147	0.91	0.75	3.32687	2.6533
46	0.004	0.005	0.230383	0.91	0.75	2.80027	2.25512
47	0.003	0.001	0.237365	0.91	0.75	3.12089	0.954693
48	0	0.002	0.244346	0.91	0.75	2.12729	2.26982
49	0.004	-0.002	0.249582	0.91	0.75	2.41942	0.109375
50	-0.001	-0.005	0.256563	0.91	0.75	0.745619	0.490231
51	-0.003	-0.005	0.263545	0.91	0.75	2.63151	0.882379
52	-0.005	0.004	0.268781	0.91	0.75	0.469161	1.43016
53	-0.002	-0.001	0.275762	0.91	0.75	2.72674	-0.831518
54	0.002	-0.001	0.280998	0.91	0.75	2.75405	0.786816
55	-0.006	-0.002	0.287979	0.91	0.75	1.01331	3.75096
56	-0.003	0.001	0.293215	0.91	0.75	1.05487	1.20216
57	-0.001	-0.003	0.300197	0.91	0.75	0.69311	2.73767
58	0.003	0.003	0.305433	0.91	0.749	1.27674	0.618106
59	0	0.004	0.310669	0.91	0.749	2.81961	0.382183
60	0.002	0.009	0.315905	0.91	0.75	3.44598	1.63222
61	0.003	0.005	0.322886	0.91	0.75	1.50807	0.677913
62	0.002	-0.001	0.328122	0.91	0.75	1.42292	4.10393
63	-0.006	0.004	0.333358	0.91	0.75	1.7217	0.763576
64	-0.009	0.004	0.338594	0.91	0.75	0.918616	1.06845
65	-0.007	0	0.34383	0.909	0.75	1.21979	-0.0620827
66	-0.001	0	0.349066	0.909	0.75	1.9685	0.126306
67	-0.002	0	0.354302	0.909	0.75	1.50203	2.04233
68	-0.002	0.003	0.359538	0.909	0.75	3.11651	0.128381
69	-0.004	0.001	0.364774	0.909	0.75	0.0469766	0.952121
70	0.004	0.004	0.37001	0.909	0.75	0.208974	0.511531
71	0.002	0.011	0.375246	0.909	0.75	2.0604	1.35622
72	-0.002	0.011	0.380482	0.909	0.75	4.07347	1.23727
73	0.001	0.008	0.383972	0.909	0.75	1.31765	0.542659
74	0	0.006	0.389208	0.909	0.75	0.113481	2.12329
75	0.001	0	0.394444	0.909	0.75	0.798247	-0.476644
76	0	0	0.39968	0.909	0.75	1.91352	3.33584
77	-0.001	-0.004	0.404916	0.909	0.75	2.1187	2.07219
78	0	0.001	0.408407	0.909	0.75	2.96834	-0.267763
79	-0.002	0.002	0.413643	0.909	0.75	2.12708	1.02609
80	-0.005	0	0.418879	0.909	0.75	1.13754	0.811892
81	-0.006	0	0.424115	0.909	0.75	1.30372	-0.577207
82	-0.005	-0.002	0.429351	0.909	0.75	3.03598	0.144805
83	-0.001	0.001	0.432842	0.909	0.75	1.64873	1.00689
84	-0.003	0.002	0.438078	0.909	0.75	3.093	0.2487
85	0	0.003	0.443314	0.909	0.75	2.36542	1.4435
86	0.006	0.005	0.44855	0.909	0.75	4.33248	0.73067
87	0.001	0.005	0.45204	0.909	0.75	0.319557	-0.081553
88	0.005	0	0.457276	0.909	0.75	3.18712	1.57553
89	0	0	0.460767	0.909	0.75	1.39035	1.45144
90	-0.003	0.002	0.466003	0.909	0.75	1.94539	0.462464
91	0	0.001	0.471239	0.909	0.75	2.79231	1.41891
92	0.001	-0.004	0.476475	0.909	0.75	1.7706	1.01859
